checkid,check_amount,check_signed,is_fraud
0,4771.89,1,0
1,2300.2,1,0
2,2791.96,1,0
3,9337.02,1,0
4,7647.65,1,0
5,9069.76,1,0
6,8124.97,1,0
7,9714.55,1,0
8,8088.28,1,0
9,2179.01,1,0
10,247.76,1,0
11,5598.6,1,0
12,9986.86,1,0
13,227.19,1,0
14,9426.73,1,0
15,9303.79,1,0
16,380.63,1,0
17,7253.83,1,0
18,178.62,1,0
19,2504.63,1,0
20,744.29,1,0
21,211.23,1,0
22,8493.4,0,0
23,2085.28,1,0
24,6726.91,1,0
25,5058.26,1,0
26,1508.82,1,0
27,8535.55,1,0
28,9728.16,1,0
29,5226.45,1,0
30,3829.57,1,0
31,6375.65,1,0
32,2877.77,1,0
33,9482.73,1,0
34,3654.45,1,0
35,3134.4,1,0
36,4940.97,1,0
37,7582.87,1,0
38,9628.23,1,0
39,8949.02,1,0
40,9467.65,1,0
41,7984.86,1,0
42,2757.96,1,0
43,7042.28,1,0
44,8853.41,1,0
45,9002.7,1,0
46,5143.08,1,0
47,9980.53,1,0
48,1473.86,1,0
49,5967.99,1,0
50,6402.46,1,0
51,9324.57,1,0
52,9259.23,1,0
53,2190.63,1,0
54,6378.85,1,0
55,1407.71,1,0
56,2346.75,1,0
57,9090.19,1,0
58,1833.4,1,0
59,147.58,1,0
60,5457.98,1,0
61,8306.82,1,0
62,2954.29,1,0
63,5060.61,1,0
64,3693.38,1,0
65,9341.21,1,0
66,3203.22,1,0
67,7268.65,1,0
68,8821.08,1,0
69,5948.28,1,0
70,5724.12,1,0
71,1499.38,1,0
72,4112.18,1,0
73,2392.64,1,0
74,5203.38,1,0
75,4149.57,1,0
76,8316.08,1,0
77,4796.96,1,0
78,793.44,1,0
79,6729.71,1,0
80,7599.75,1,0
81,5905.41,1,0
82,1945.28,1,0
83,2668.1,1,0
84,5877.92,1,0
85,6806.26,1,0
86,4579.62,1,0
87,1586.31,1,0
88,718.66,1,0
89,6182.28,1,0
90,4340.98,1,0
91,2074.24,1,0
92,1144.97,1,0
93,56.56,1,0
94,1734.82,1,0
95,4983.1,1,0
96,2833.96,1,0
97,5415.91,1,0
98,9092.69,1,0
99,4052.74,1,0
100,7504.04,1,0
101,10000.0,1,1
102,6138.57,1,0
103,9107.93,1,0
104,3286.88,1,0
105,8053.69,1,0
106,2137.17,1,0
107,5771.41,1,0
108,4916.67,1,0
109,2856.57,1,0
110,4826.09,1,0
111,7567.85,1,0
112,8434.86,1,0
113,2566.65,1,0
114,6545.26,1,0
115,6327.71,1,0
116,2192.3,1,0
117,683.15,1,0
118,4049.67,1,0
119,2953.43,1,0
120,4892.28,1,0
121,650.11,1,0
122,6665.52,1,0
123,8282.89,1,0
124,3676.53,1,0
125,1974.65,1,0
126,3041.37,1,0
127,3245.74,1,0
128,1329.88,1,0
129,3432.33,1,0
130,1664.42,1,0
131,9817.99,1,0
132,263.95,1,0
133,7311.01,1,0
134,8479.47,1,0
135,4508.83,1,0
136,3927.12,1,0
137,8714.53,1,0
138,193.04,1,0
139,8096.17,1,0
140,2267.39,1,0
141,9764.58,1,0
142,3199.91,1,0
143,4259.18,1,0
144,8122.58,1,0
145,9843.71,1,0
146,9331.02,1,0
147,7589.39,1,0
148,1235.84,1,0
149,8114.95,1,0
150,5863.9,1,0
151,7084.88,1,0
152,8112.38,1,0
153,2458.75,1,0
154,9944.48,1,0
155,6966.18,1,0
156,5355.56,1,0
157,8707.0,1,0
158,4724.53,1,0
159,5842.92,1,0
160,8659.86,1,0
161,7620.11,1,0
162,6032.27,1,0
163,1201.51,1,0
164,2466.54,1,0
165,2505.7,1,0
166,9256.55,1,0
167,8097.09,1,0
168,5697.01,1,0
169,3727.21,1,0
170,2121.14,1,0
171,7662.0,1,0
172,9952.3,1,0
173,6635.25,1,0
174,4717.21,1,0
175,1601.02,1,0
176,4545.87,1,0
177,8748.16,1,0
178,2406.15,1,0
179,3205.26,1,0
180,6905.66,1,0
